Name ,Series ID,Source,,,,,,,,,
RGDP,A2304402X,Australian Bureau of Statistics ,Abbreviations used for each series and their Australian Bureau of Statistics or Reserve Bank of Australia Series ID. Data on the AllOrds were obtained from Yahoo Finance ,,,,,,,,
HCE-UTF,A3604727K,Australian Bureau of Statistics ,,,,,,,,,
HCE-MV,A3604722X,Australian Bureau of Statistics ,,,,,,,,,
HCE-ParAcc,A3604725F,Australian Bureau of Statistics ,,,,,,,,,
HCE-Fuel,A3604723A,Australian Bureau of Statistics ,,,,,,,,,
HCE-MaiRep,A3604726J,Australian Bureau of Statistics ,,,,,,,,,
HCE-OthMot,A3604724C,Australian Bureau of Statistics ,,,,,,,,,
EPI_TFW,A2295588F,Australian Bureau of Statistics ,,,,,,,,,
EPI_CFCM,A2295591V,Australian Bureau of Statistics ,,,,,,,,,
EPI_MOMS,A2295594A,Australian Bureau of Statistics ,,,,,,,,,
EPI_CCB,A2295606X,Australian Bureau of Statistics ,,,,,,,,,
EPI_PPRM,A2295600K,Australian Bureau of Statistics ,,,,,,,,,
EPI_GNM,A2295603T,Australian Bureau of Statistics ,,,,,,,,,
EPI_AOF,A2295609F,Australian Bureau of Statistics ,,,,,,,,,
EPI_MPP,A2295663V,Australian Bureau of Statistics ,,,,,,,,,
EPI_PNPF,A2295669J,Australian Bureau of Statistics ,,,,,,,,,
EPI_CMP,A2295675C,Australian Bureau of Statistics ,,,,,,,,,
EPI_LLMDF,A2295639V,Australian Bureau of Statistics ,,,,,,,,,
HCE-Post,A3604720V,Australian Bureau of Statistics ,,,,,,,,,
HCE-TelEqu,A3604721W,Australian Bureau of Statistics ,,,,,,,,,
HCE-AVCE,A3604738T,Australian Bureau of Statistics ,,,,,,,,,
HCE-DomTra,A3604739V,Australian Bureau of Statistics ,,,,,,,,,
HCE-IntTra,A3604740C,Australian Bureau of Statistics ,,,,,,,,,
HCE-Pet,A3604719K,Australian Bureau of Statistics ,,,,,,,,,
PEXP,f15hist,Reserve Bank of Australia ,,,,,,,,,
PIMP,f15hist,Reserve Bank of Australia ,,,,,,,,,
COMMP,i02hist,Reserve Bank of Australia ,,,,,,,,,
RHDI,h02hist,Reserve Bank of Australia ,,,,,,,,,
TotalComp,A2302607T,Australian Bureau of Statistics ,,,,,,,,,
AveComp,A2302608V,Australian Bureau of Statistics ,,,,,,,,,
IBR,f01hist,Reserve Bank of Australia ,,,,,,,,,
90 days Bk bills,f01dhist,Reserve Bank of Australia ,,,,,,,,,
5 yr T-bond,f02histhist,Reserve Bank of Australia ,,,,,,,,,
10 yr T-bond,f02histhist,Reserve Bank of Australia ,,,,,,,,,
10 yr NSWT-bond ,f02hist,Reserve Bank of Australia ,,,,,,,,,
Currency,d03hist,Reserve Bank of Australia ,,,,,,,,,
M1,d03hist,Reserve Bank of Australia ,,,,,,,,,
M3,d03hist,Reserve Bank of Australia ,,,,,,,,,
BM,d03hist,Reserve Bank of Australia ,,,,,,,,,
Mbase,d03hist,Reserve Bank of Australia ,,,,,,,,,
Credit_Person,d02hist,Reserve Bank of Australia ,,,,,,,,,
Credit_Bus,d02hist,Reserve Bank of Australia ,,,,,,,,,
Credit_Total,d02hist,Reserve Bank of Australia ,,,,,,,,,
Credit_Nar,d02hist,Reserve Bank of Australia ,,,,,,,,,
LoaAdv,d02hist,Reserve Bank of Australia ,,,,,,,,,
Ex rate: JPY,f11hist,Reserve Bank of Australia ,,,,,,,,,
Ex rate: USD,f11hist,Reserve Bank of Australia ,,,,,,,,,
EX rate: KRW,f11hist,Reserve Bank of Australia ,,,,,,,,,
Ex rate: NZD,f11hist,Reserve Bank of Australia ,,,,,,,,,
Ex rate: CNY,f11hist,Reserve Bank of Australia ,,,,,,,,,
Ex rate: BBP,f11hist,Reserve Bank of Australia ,,,,,,,,,
Ex rate: SGD,f11hist,Reserve Bank of Australia ,,,,,,,,,
EX rate: IDR,f11hist,Reserve Bank of Australia ,,,,,,,,,
Ex rate: HKD,f11hist,Reserve Bank of Australia ,,,,,,,,,
Ex rate: MYR,f11hist,Reserve Bank of Australia ,,,,,,,,,
Ex rate: avg,f11hist,Reserve Bank of Australia ,,,,,,,,,
SP ASX AllOrds,Yahoo Finance,Yahoo Finance,,,,,,,,,
EPI_PPA,A2295645R,Australian Bureau of Statistics ,,,,,,,,,
EPI_IS,A2295654T,Australian Bureau of Statistics ,,,,,,,,,
EPI_NFM,A2295651K,Australian Bureau of Statistics ,,,,,,,,,
EPI_PGME,A2295612V,Australian Bureau of Statistics ,,,,,,,,,
EPI_TESEM,A2295615A,Australian Bureau of Statistics ,,,,,,,,,
EPI_RV,A2295618J,Australian Bureau of Statistics ,,,,,,,,,
EPI_OTE,A2295621W,Australian Bureau of Statistics ,,,,,,,,,
EPI_PSCIA,A2295627K,Australian Bureau of Statistics ,,,,,,,,,
EPI_PAESO,A2295630X,Australian Bureau of Statistics ,,,,,,,,,
EPI_MMA,A2295633F,Australian Bureau of Statistics ,,,,,,,,,
EPI_Gold,A2295636L,Australian Bureau of Statistics ,,,,,,,,,
