Model ID,Formula Name,R code,,
MMID0001,average,"average (i1,i2,..)",,
MMID0002,present value of rent,rent * (1 + cost of capital/100) ^ -year,,
MMID0003,,,,
MMID0004,,,,
MMID0005,,,,
MMID0006,,,,
MMID0007,,,,
MMID0008,,,,
MMID0009,,,,
MMID0010,,,,
MMID0011,,,,
MMID0012,,,,
MMID0013,,,,
MMID0014,,,,
MMID0015,,,,
MMID0016,,,,
MMID0017,,,,
MMID0018,,,,
MMID0019,,,,
