variable ID,name,Measure ID,Concept 1,Concept 2,Concept 3,Concept 4,Concept 5,Concept 6,Concept 7,Concept 8,Concept 9,Concept 10
VID61,Index; Telecommunication equipment and services,MonashBS_MIDA181513R,Macroeconomic,,,,,,,,,
VID62,"Index; Audio, visual and computing equipment",MonashBS_MIDA181514T,Macroeconomic,,,,,,,,,
VID63,Index; Domestic holiday travel and accommodation,MonashBS_MIDA181515V,Macroeconomic,,,,,,,,,
VID64,Index; International holiday travel and accommodation ,MonashBS_MIDh05hist,Macroeconomic,,,,,,,,,
VID65,Index; Pets and related products,MonashBS_MIDA181526A,Macroeconomic,,,,,,,,,
VID66,Non-farm; Total compensation of employees: Current prices ,MonashBS_MIDA181525X,Macroeconomic,,,,,,,,,
VID67,AUD/JPY Exchange Rate,MonashBS_MIDA181516W,Macroeconomic,,,,,,,,,
VID68,AUD/USD Exchange Rate,MonashBS_MIDA181517X,Macroeconomic,,,,,,,,,
VID69,AUD/KRW Exchange Rate,MonashBS_MIDA181518A,Macroeconomic,,,,,,,,,
VID70,AUD/NZD Exchange Rate,MonashBS_MIDA2412508V,Macroeconomic,,,,,,,,,
VID71,AUD/CNY Exchange Rate,MonashBS_MIDA2412509W,Macroeconomic,,,,,,,,,
VID72,AUD/GBP Exchange Rate,MonashBS_MIDA2412632C,Macroeconomic,,,,,,,,,
VID73,AUD/SGD Exchange Rate,MonashBS_MIDA2412636L,Macroeconomic,,,,,,,,,
VID74,AUD/IDR Exchange Rate,MonashBS_MIDA2412644L,Macroeconomic,,,,,,,,,
VID75,AUD/HKD Exchange Rate,MonashBS_MIDA2412648W,Macroeconomic,,,,,,,,,
VID76,AUD/MYR Exchange Rate,MonashBS_MIDA2412656W,Macroeconomic,,,,,,,,,
VID77,Index Numbers; 00 Live animals other than division 03,MonashBS_MIDA2412662T,Macroeconomic,,,,,,,,,
VID78,Index Numbers; 01 Meat and meat preparations,MonashBS_MIDA2412668F,Macroeconomic,,,,,,,,,
VID79,Index Numbers; 02 Dairy products and birds’ eggs,MonashBS_MIDA2412672W,Macroeconomic,,,,,,,,,
VID80,"Index Numbers; 03 Fish, crustaceans, molluscs and aquatic invertebrates and preparations thereof",MonashBS_MIDA2412624C,Macroeconomic,,,,,,,,,
VID81,Index Numbers;04 Cereals and cereal preparations,MonashBS_MIDh03hist,Macroeconomic,,,,,,,,,
VID82,Index Numbers; 05 Vegetables and fruit,MonashBS_MIDA2302598A,Macroeconomic,,,,,,,,,
VID83,"Index Numbers; 06 Sugars, sugar preparations and honey ",MonashBS_MIDA2302601C,Macroeconomic,,,,,,,,,
VID84,"Index Numbers; 07 Coffee, tea, cocoa, spices and manuf. thereof ",MonashBS_MIDA2325846C,Macroeconomic,,,,,,,,,
VID85,Index Numbers; 08 Feeding stuff for animals (not including unmilled cereals),MonashBS_MIDA3604727K,Macroeconomic,,,,,,,,,
VID86,"Index Numbers; 21 Hides, skins and furskins, raw ",MonashBS_MIDA3604722X,Macroeconomic,,,,,,,,,
VID87,Index Numbers; 24 Cork and wood,MonashBS_MIDA3604725F,Macroeconomic,,,,,,,,,
VID88,Index Numbers; 26 Textile fibres and their wastes,MonashBS_MIDA3604723A,Macroeconomic,,,,,,,,,
VID89,"Index Numbers; 27 Crude fertilizers, other than those of division 56, and crude minerals (excluding coal, petroleum) ",MonashBS_MIDA3604726J,Macroeconomic,,,,,,,,,
VID90,Index Numbers; 28 Metalliferous ores and metal scrap,MonashBS_MIDA3604724C,Macroeconomic,,,,,,,,,
VID91,"Index Numbers; 32 Coal, coke and briquettes",MonashBS_MIDA2295588F,Macroeconomic,,,,,,,,,
VID92,"Index Numbers; 33 Petroleum, petroleum products and related materials",MonashBS_MIDA2295591V,Macroeconomic,,,,,,,,,
VID93,"Index Numbers; 34 Gas, natural and manufactured",MonashBS_MIDA2295594A,Macroeconomic,,,,,,,,,
VID94,Index Numbers; 41 Animal oils and fats,MonashBS_MIDA2295606X,Macroeconomic,,,,,,,,,
VID95,Index Numbers; 54 Medical and pharmaceutical products,MonashBS_MIDA2295600K,Macroeconomic,,,,,,,,,
VID96,Index Numbers; 58 Plastics in non-primary forms,MonashBS_MIDA2295603T,Macroeconomic,,,,,,,,,
VID97,"Index Numbers; 59 Chemical materials and products, n.e.s. ",MonashBS_MIDA2295609F,Macroeconomic,,,,,,,,,
VID98,"Index Numbers; 61 Leather, leather manufactures, n.e.s., and dressed furskins",MonashBS_MIDA2295663V,Macroeconomic,,,,,,,,,
VID99,"Index Numbers; 64 Paper, paperboard, and articles of paper pulp, of paper or of paperboard",MonashBS_MIDA2295669J,Macroeconomic,,,,,,,,,
ID100,Index Numbers; 67 Iron and steel,MonashBS_MIDA2295675C,Macroeconomic,,,,,,,,,
ID101,Index Numbers; 68 Non-ferrous metals,MonashBS_MIDA2295639V,Macroeconomic,,,,,,,,,
ID102,"Index Numbers; 71–75 Power generating, general industrial and other specialised machinery and equipment",MonashBS_MIDA3604720V,Macroeconomic,,,,,,,,,
ID103,"Index Numbers; 76–77 Telecommunications equipment, sound recording apparatus and electrical machinery, n.e.s.",MonashBS_MIDA3604721W,Macroeconomic,,,,,,,,,
ID104,Index Numbers; 78 Road vehicles (incl. air-cushion vehicles) ,MonashBS_MIDA3604738T,Macroeconomic,,,,,,,,,
ID105,Index Numbers; 79 Other transport equipment,MonashBS_MIDA3604739V,Macroeconomic,,,,,,,,,
ID106,"Index Numbers; 87 Professional, scientific and controlling instruments and apparatus, n.e.s.",MonashBS_MIDA3604740C,Macroeconomic,,,,,,,,,
ID107,"Index Numbers; 88 Photographic apparatus, equipment and supplies and optical goods, n.e.s.",MonashBS_MIDA3604719K,Macroeconomic,,,,,,,,,
ID108,"Index Numbers; 89 Miscellaneous manufactured articles, n.e.s. ",MonashBS_MIDf15hist,Macroeconomic,,,,,,,,,
ID109,"Index Numbers; 97 Gold, non-monetary (excluding gold ores and concentrates) ",MonashBS_MIDf15hist,Macroeconomic,,,,,,,,,
ID110,Gross domestic product: Chain volume measures ,MonashBS_MIDi02hist,Macroeconomic,,,,,,,,,
ID111,Index Numbers; All groups CPI,MonashBS_MIDh02hist,Macroeconomic,,,,,,,,,
ID112,Interbank overnight cash rate in Australia ,MonashBS_MIDA2302607T,Macroeconomic,,,,,,,,,
ID113,Total industrial industries; Index,MonashBS_MIDA2302608V,Macroeconomic,,,,,,,,,
